race_cat,percentile,valueOverall4,valuePublic4,valueMission4,valueSmallBiz4,valueNonRes4,valueSF4,valueMF4
0-5% Asian,0-5%,13754.33751,288.8712809,445.1744515,5178.688448,12150.45082,11705.68639,3424.865643
6-10% Asian,6-10%,27929.67107,236.2578929,387.5090166,5980.898947,11383.78211,26660.2351,5219.405043
11-20% Asian,11-20%,28845.35291,287.7815197,293.9760417,4288.755234,6574.586308,20867.14242,4133.415933
21+% Asian,21+%,36785.05275,780.7705118,439.4300699,4351.743643,7086.716122,15353.22426,3084.718319
,,,,,,,,
0-20% Black,0-20%,25889.27138,237.2875978,328.5827262,5025.51822,8485.93621,19745.83607,4642.735017
21-40% Black,21-40%,19001.19799,408.392618,286.6720132,5033.217182,13974.04516,17153.82264,3728.863452
41-60% Black,41-60%,13712.75905,638.4017104,468.9807687,5646.163274,7527.452322,9941.744285,4207.03792
61-80% Black,61-80%,13217.46645,459.6296758,573.0570046,5593.295768,9356.550888,7095.723442,2548.547627
81+% Black,81+%,7801.462696,437.4365106,659.4639951,4165.767036,12461.5568,5049.724037,1963.362333
0-20% Hispanic,0-20%,23793.02995,361.4595185,478.4801422,4824.12657,8194.658585,19224.0772,3904.037173
21-40% Hispanic,21-40%,19471.81911,243.1165727,277.4015592,5519.241612,12456.22553,16943.89497,4893.25054
41-60% Hispanic,41-60%,14807.19297,269.4402316,286.3743195,5672.702567,11334.78337,12325.18229,3869.057989
61+% Hispanic,61+%,11567.4576,232.8454105,330.9340414,4961.247918,11128.85242,6667.286156,3629.247877
,,,,,,,,
0-20% white,0-20%,9372.465119,380.0041287,566.0271374,4581.043581,11221.21211,5385.628588,2173.71911
21-40% white,21-40%,15636.64754,366.4834809,279.3698708,5859.060443,11824.17155,11888.73014,4009.527441
41-60% white,41-60%,27694.07162,536.9762081,299.0435403,4559.25838,7683.815702,17902.08086,3978.670492
61-80% white,61-80%,33174.73075,94.07304398,347.3991735,4994.843039,7701.036191,27555.51922,5076.237642
81+% white,81+%,32707.39636,66.40526334,286.0582806,6077.965695,12738.45442,30283.74721,4990.881795
